Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.106542,0.653308,0.326428,0.183207,214,29,40298468,30776243.000000,0.000000,6542,.,.,3884.000000,2239.000000,,1.73470299241,697,.,.,243.000000,449.000000,,0.541202672606,5845,.,.,3641.000000,1790.000000,,2.03407821229,1593,.,.,583.000000,1007.000000,,0.578947368421,701,.,.,251.000000,449.000000,,0.559020044543,372,.,.,114.000000,257.000000,,0.443579766537,520,.,.,218.000000,301.000000,,0.724252491694
INDEL,*,*,PASS,*,QUAL,*,0.106542,0.653308,0.326428,0.183207,214,29,40298468,30776243.000000,0.000000,6542,.,.,3884.000000,2239.000000,,1.73470299241,697,.,.,243.000000,449.000000,,0.541202672606,5845,.,.,3641.000000,1790.000000,,2.03407821229,1593,.,.,583.000000,1007.000000,,0.578947368421,701,.,.,251.000000,449.000000,,0.559020044543,372,.,.,114.000000,257.000000,,0.443579766537,520,.,.,218.000000,301.000000,,0.724252491694
INDEL,*,TS_contained,ALL,*,QUAL,*,0.106542,0.653308,0.0,0.183207,214,29,30776243.000000,30776243.000000,0.000000,6542,.,.,3884.000000,2239.000000,,1.73470299241,697,.,.,243.000000,449.000000,,0.541202672606,5845,.,.,3641.000000,1790.000000,,2.03407821229,1073,.,.,365.000000,706.000000,,0.516997167139,701,.,.,251.000000,449.000000,,0.559020044543,372,.,.,114.000000,257.000000,,0.443579766537,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.106542,0.653308,0.0,0.183207,214,29,30776243.000000,30776243.000000,0.000000,6542,.,.,3884.000000,2239.000000,,1.73470299241,697,.,.,243.000000,449.000000,,0.541202672606,5845,.,.,3641.000000,1790.000000,,2.03407821229,1073,.,.,365.000000,706.000000,,0.516997167139,701,.,.,251.000000,449.000000,,0.559020044543,372,.,.,114.000000,257.000000,,0.443579766537,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,40298468,30776243.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,40298468,30776243.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,30776243.000000,30776243.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,30776243.000000,30776243.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,40298468,30776243.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,40298468,30776243.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
